GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,10,"22","  Utilities ","Thousands of dollars",149119,157348,163344,196203,(D),(D)
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,11,"23","  Construction ","Thousands of dollars",1507893,1638552,1778877,1677636,1676036,1735089
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",4749983,4996364,5144076,4866700,5113794,5504500
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",2618393,2582129,2611068,2336715,2414953,2645316
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",2131590,2414235,2533008,2529985,2698841,2859184
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",2889108,2966313,3092952,3054426,3209115,3457403
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",2923222,2913433,3049024,3311333,3807467,4134400
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,45,"51","  Information ","Thousands of dollars",1099001,1122907,1223121,1183210,1230037,1250475
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",7180824,7533593,7988312,8048251,8722725,(D)
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",2797637,2982348,3428455,3235009,3593428,3892508
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",4383187,4551246,4559856,4813242,5129297,(D)
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",5198701,5313003,5324442,5150941,5601052,5973824
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",1759286,1882955,2037171,2000268,2224522,2445650
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",2232636,2220645,2096113,2042784,2215017,2237307
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",1206779,1209404,1191157,1107889,1161513,1290867
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",3764811,3781038,3930353,3856928,4075727,4370653
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,69,"61","   Educational services ","Thousands of dollars",241292,224702,230514,217364,244377,265692
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",3523519,3556335,3699839,3639564,3831350,4104961
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",1288792,1313905,1364005,1073482,1361473,1543068
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",365950,361566,339550,239265,301819,356000
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",922842,952339,1024455,834216,1059654,1187067
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",830541,866663,902502,865549,908240,982536
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,83,"92","Government and government enterprises ","Thousands of dollars",3725187,3846164,3883276,3905668,4026767,4188590
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,87,"11,21","Natural resources and mining ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,88,"42,44-45","Trade ","Thousands of dollars",5812330,5879746,6141976,6365759,7016582,7591803
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,89,"22,48-49","Transportation and utilities ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,90,"31-33,51","Manufacturing and information ","Thousands of dollars",5848985,6119272,6367196,6049910,6343831,6754975
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,1,"...","All industry total ","Thousands of dollars",5693673,5823243,6103578,6210223,6824895,7312400
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,2,"..."," Private industries ","Thousands of dollars",4654253,4761160,5004675,5110851,5686707,6155398
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",(D),(D),181083,178543,176412,135760
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",321,(D),0,0,2039,4687
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,10,"22","  Utilities ","Thousands of dollars",30320,25450,43452,(D),(D),(D)
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,11,"23","  Construction ","Thousands of dollars",222686,(D),239521,235649,241360,240758
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",728987,704937,689322,813567,954257,971754
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",124707,125678,129100,138856,182789,212861
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",604281,579260,560221,674711,771468,758893
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",376964,412341,433134,445798,488288,559572
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",424605,442057,469582,463782,541259,581030
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,45,"51","  Information ","Thousands of dollars",134757,134966,144241,132363,137473,239792
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",948212,999134,(D),1024698,1055051,(D)
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",316104,(D),(D),(D),380542,(D)
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",632108,(D),649054,(D),674508,699887
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",480714,(D),(D),495542,561498,632771
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",(D),223993,192180,(D),(D),(D)
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",45708,(D),(D),(D),(D),(D)
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",(D),244276,261446,282514,327231,375828
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",672253,709860,742825,(D),800263,810074
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,69,"61","   Educational services ","Thousands of dollars",25293,25456,26477,(D),29408,31438
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",646960,684404,716348,697608,770854,778636
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",(D),(D),(D),(D),273182,297910
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",(D),(D),(D),9998,15723,20933
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",(D),(D),200054,(D),257459,276977
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",165606,163629,162574,156763,(D),203740
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,83,"92","Government and government enterprises ","Thousands of dollars",1039419,1062084,1098903,1099371,1138188,1157002
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,87,"11,21","Natural resources and mining ","Thousands of dollars",(D),(D),181083,178543,178451,140447
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,88,"42,44-45","Trade ","Thousands of dollars",801569,854398,902716,909580,1029547,1140601
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,89,"22,48-49","Transportation and utilities ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,90,"31-33,51","Manufacturing and information ","Thousands of dollars",863744,839903,833563,945930,1091730,1211546
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",(D),1012256,1109926,1227759,1374068,1352959
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",(D),3748904,3894749,3883092,4312639,4802439
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,1,"...","All industry total ","Thousands of dollars",4505965,4955241,5131645,5043616,5565138,6107649
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP2,2,"..."," Private industries ","Thousands of dollars",3939587,4353484,4502545,4415929,4896168,5397297
